model_year,milage,accident,clean_title,price,car_id,log_price,car_age,engine_hp,engine_displacement_L,num_cylinders,is_turbo_supercharged,milage_per_year,is_luxury,is_electric,is_hybrid,is_common_color,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,fuel_type_Unknown,fuel_type_not supported,transmission_CVT,transmission_Manual,transmission_Unknown,engine_fuel_detail_Electric,engine_fuel_detail_Flex Fuel,engine_fuel_detail_Gasoline,engine_fuel_detail_Hybrid,engine_fuel_detail_Unknown,brand_freq,model_freq,ext_col_freq,int_col_freq,brand_model_freq
2020,0.44525559111763235,0,0.0,35500.0,3673,10.477316144080852,-0.7346608476442754,0.8875637339841637,-0.13968941523943265,-0.13420722710911134,0,2.52084884666895,1,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.021701172362185085,0.004240458967323522,0.12372162634073335,0.031928161636318286,0.004240458967323522
2018,0.17751836646463307,0,0.0,27950.0,3674,10.238208256118535,-0.4070097921090768,-0.29866326636594775,-0.13968941523943265,-0.13420722710911134,0,0.8746075381040639,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04963831379396358,0.002494387627837366,0.20354203043152905,0.5061112496882015,0.002494387627837366
2019,-0.38740717755319554,0,0.0,34500.0,3675,10.448743588106625,-0.5708353198766761,-0.02491857397746052,-0.7297610550891636,-0.13420722710911134,0,0.1341335511418502,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09628336243452232,0.005986530306809678,0.06510351708655525,0.11773509603392367,0.005986530306809678
2015,0.5982482909193463,0,0.0,17000.0,3676,9.741027444837728,0.0844667911937211,-0.42641078948057515,-0.06593046025821621,-0.13420722710911134,0,0.6470782515544456,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.02269892741332003,0.0004988775255674732,0.08730356697430781,0.13444749314043403,0.0004988775255674732
2005,0.1966424539398473,0,0.0,17500.0,3677,9.770013301136158,1.7227220688697142,-0.8005285357448411,-0.7297610550891636,-0.13420722710911134,0,-0.7231164961230354,1,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.05013719131953105,0.0014966325767024195,0.09329009728111748,0.5061112496882015,0.0014966325767024195
2014,0.5791242034441321,0,0.0,17900.0,3678,9.792611856190192,0.2482923189613204,0.38569846460527035,1.4830075943473278,1.2261891660146014,0,0.4213740662338349,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.022449488650536295,0.0009977550511349464,0.22649039660763282,0.5061112496882015,0.0009977550511349464
2016,-0.2853036745230267,0,0.0,37500.0,3679,10.53212287826962,-0.07935873657387821,0.1119537722167831,-0.5084841901455145,-0.13420722710911134,0,-0.3054478255536926,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.03242703916188576,0.0007483162883512097,0.010725866799700674,0.03916188575704665,0.0007483162883512097
2006,-0.7135302412680239,0,0.0,21750.0,3680,9.987415012471414,1.5588965411021147,-0.25303915096786656,0.6716590895539472,1.2261891660146014,0,-1.2635883658704383,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.09628336243452232,0.0027438263906211027,0.09329009728111748,0.03142928411075081,0.0027438263906211027
2020,-0.7913270291171954,0,0.0,34645.0,3681,10.452937557838887,-0.7346608476442754,-0.16179092017170416,-1.2460737399576782,-0.13420722710911134,1,-0.5081481645985239,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.004739336492890996,0.001247193813918683,0.0002494387627837366,0.5061112496882015,0.001247193813918683
2016,0.1798515051366092,0,0.0,35900.0,3682,10.488520429241627,-0.07935873657387821,0.8145651493472337,-0.13968941523943265,-0.13420722710911134,0,0.327548315904225,1,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.021701172362185085,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
1997,-0.28145973294050863,0,0.0,6000.0,3683,8.699681400989514,3.020220248789112,-0.34428738176402895,0.22910535966664922,1.2261891660146014,0,-1.1831940976020432,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.011723621850835619,0.0009977550511349464,0.20354203043152905,0.13444749314043403,0.0009977550511349464
2021,-0.9556794368791866,0,0.0,38998.0,3684,10.571291283757406,-0.8984863754118747,-0.16179092017170416,-0.13968941523943265,-0.13420722710911134,1,-0.7380481055528542,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.07857321027687703,0.001247193813918683,0.0002494387627837366,0.03317535545023697,0.001247193813918683
2021,-1.186029070518142,0,0.0,85950.0,3685,11.361532645414634,-0.8984863754118747,1.4806772341592194,1.8518023692534096,1.2261891660146014,0,-1.443347068620173,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07283611873285109,0.001746071339486156,0.08730356697430781,0.007233724120728361,0.001746071339486156
2012,2.3959125135894848,1,0.0,6000.0,3686,8.699681400989514,0.575943374496519,-0.9830249973371659,-1.2460737399576782,-1.4946036202328241,0,1.8217882784916155,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0074831628835120975,0.0002494387627837366,0.009478672985781991,0.13444749314043403,0.0002494387627837366
2014,0.4880170507122114,0,0.0,9999.0,3687,9.210340371976184,0.2482923189613204,-0.9830249973371659,-1.2460737399576782,-1.4946036202328241,0,0.31993493992559086,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.049887752556747315,0.0014966325767024195,0.12372162634073335,0.5061112496882015,0.0014966325767024195
